url, value
images/photo5323652577058994216.jpg, 0
images/photo5323652577058994215.jpg, 0
images/photo5323652577058994217.jpg, 0
images/photo5321203346188646647.jpg, 0
images/photo5321203346188646648.jpg, 0
images/photo5321203346188646649.jpg, 0
images/photo5321203346188646650.jpg, 0
images/photo5321203346188646651.jpg, 1
images/photo5321203346188646652.jpg, 0
images/photo5321203346188646653.jpg, 1
images/photo5321203346188646654.jpg, 1
images/photo5321203346188646655.jpg, 1
images/photo5321203346188646656.jpg, 0
images/photo5321203346188646657.jpg, 1
images/photo5321203346188646658.jpg, 0
images/photo5321203346188646659.jpg, 0
images/photo5321203346188646660.jpg, 0
images/photo5321203346188646661.jpg, 1
images/photo5321203346188646662.jpg, 1
images/photo5321203346188646663.jpg, 1
images/photo5321203346188646664.jpg, 0
images/photo5321203346188646665.jpg, 0
images/photo5321203346188646666.jpg, 1
images/photo5321203346188646667.jpg, 1
images/photo5321203346188646668.jpg, 1
images/photo5325904376872678686.jpg, 1
images/photo5325904376872678687.jpg, 1
images/photo5325904376872678688.jpg, 1
images/photo5325904376872678689.jpg, 1
images/photo5325904376872678690.jpg, 1
images/photo5325904376872678691.jpg, 1
images/photo5325904376872678692.jpg, 0
